Daerah,Nama Kuliner,"Bahan Utama (mis: beras,labu)",Bahan pengganti (mis: sagu),"Bahan pelengkap (mis: sayur kangkung, daun singkong)","Bentuk dan tekstur (mis: kuah kental, lembek)",Cara penyajian khusus (mis: dengan daun pisang),Deskripsikan Aroma lebih detail,Deskripsikan Rasa lebih detail,Apa rasa dominan kuliner tersebut ? [Nasi jajan],Level Pedas kuliner lokal di bawah ini [Nasi jajan],Level Gurih kuliner lokal di bawah ini [Nasi jajan],Level Manis kuliner lokal di bawah ini [Nasi jajan],Level Asin kuliner lokal di bawah ini [Nasi jajan],Level Asam kuliner lokal di bawah ini [Nasi jajan],Bagaimana aroma kuliner tersebut? [Nasi jajan],Nutrisi dari makanan [Nasi jajan],Tekstur makanan (mudah dikunyah/ tingkat kelembutan makanan) [Nasi jajan],Penggunaan bahan alami [Nasi jajan],Kesegaran makanan [Nasi jajan],Kebersihan makanan [Nasi jajan],Status halal makanan [Nasi jajan]
,Ikan Bakar/Goreng,"daging Ikan mas,/urame/bawal",aneka Ikan lainnya,"jeruk nipis, bawang, kecap.","garam, cabai",potongan daging empuk,ikan dengan bumbu rempah,gurih,Asin dengan dominan bumbu rempah tertentu,2,3,1,2,1,Aroma rempah yang sedang,2,2,2,3,3,Halal
,Ayam Bakar/Goreng,daging ayam,aneka unggas lainnya,"sambal, timun, selada","garam, lada",potongan daging umpuk,daging ayam yang dibakar atau digoreng,gurih,Asin dengan dominan bumbu rempah tertentu,2,3,1,2,1,Aroma rempah yang sedang,2,2,2,3,3,Halal
,Nasi TImbel,beras merah campuran (beras yang dijadikan nasi),Beras yang djidikan nasi,"Ayam, tempe, tahu, sambal","Daun pandan, daun jeruk.",dibungkus daun pisang dengan berbagai lauk pelengkap,aroma rempah,Gurih,Gurih dengan dominan bumbuu rempah tertentu,2,1,2,2,1,Aroma rempah yang kuat,3,2,3,3,3,Halal
,Ikan Bakar/Goreng,"daging Ikan mas,/urame/bawal",aneka Ikan lainnya,"jeruk nipis, bawang, kecap.","garam, cabai",potongan daging empuk,ikan dengan bumbu rempah,gurih,Gurih dengan dominan bumbuu rempah tertentu,3,3,2,2,1,Aroma rempah yang sedang,3,2,3,3,3,Halal
,Ayam Bakar/Goreng,daging ayam,aneka unggas lainnya,"sambal, timun, selada","garam, lada",potongan daging umpuk,daging ayam yang dibakar atau digoreng,gurih,Gurih dengan dominan bumbuu rempah tertentu,3,3,2,2,1,Aroma rempah yang sedang,3,2,3,3,3,Halal
,Nasi TImbel,beras merah campuran (beras yang dijadikan nasi),Beras yang djidikan nasi,"Ayam, tempe, tahu, sambal","Daun pandan, daun jeruk.",dibungkus daun pisang dengan berbagai lauk pelengkap,aroma rempah,Gurih,Gurih dengan dominan bumbuu rempah tertentu,2,3,2,2,1,Aroma rempah yang kuat,3,3,3,3,3,Halal
,Ikan Bakar/Goreng,"daging Ikan mas,/urame/bawal",aneka Ikan lainnya,"jeruk nipis, bawang, kecap.","garam, cabai",potongan daging empuk,ikan dengan bumbu rempah,gurih,Gurih dengan dominan bumbuu rempah tertentu,2,3,2,2,1,Aroma rempah yang sedang,3,3,3,3,3,Halal
,Ayam Bakar/Goreng,daging ayam,aneka unggas lainnya,"sambal, timun, selada","garam, lada",potongan daging umpuk,daging ayam yang dibakar atau digoreng,gurih,Gurih dengan dominan bumbuu rempah tertentu,2,3,2,2,1,Aroma rempah yang sedang,3,3,3,3,3,Halal
,Nasi TImbel,beras merah campuran (beras yang dijadikan nasi),Beras yang djidikan nasi,"Ayam, tempe, tahu, sambal","Daun pandan, daun jeruk.",dibungkus daun pisang dengan berbagai lauk pelengkap,aroma rempah,Gurih,Gurih dengan dominan bumbuu rempah tertentu,2,3,2,2,1,Aroma rempah yang kuat,3,3,3,3,3,Halal
,Ikan Bakar/Goreng,"daging Ikan mas,/urame/bawal",aneka Ikan lainnya,"jeruk nipis, bawang, kecap.","garam, cabai",potongan daging empuk,ikan dengan bumbu rempah,gurih,Gurih dengan dominan bumbuu rempah tertentu,2,3,2,2,1,Aroma rempah yang sedang,3,3,3,3,3,Halal
,Ayam Bakar/Goreng,daging ayam,aneka unggas lainnya,"sambal, timun, selada","garam, lada",potongan daging umpuk,daging ayam yang dibakar atau digoreng,gurih,Gurih dengan dominan bumbuu rempah tertentu,2,3,2,2,1,Aroma rempah yang sedang,3,3,3,3,3,Halal
,Nasi TImbel,beras merah campuran (beras yang dijadikan nasi),Beras yang djidikan nasi,"Ayam, tempe, tahu, sambal","Daun pandan, daun jeruk.",dibungkus daun pisang dengan berbagai lauk pelengkap,aroma rempah,Gurih,Gurih dengan dominan bumbuu rempah tertentu,3,5,2,2,1,Aroma rempah yang sedang,5,5,5,5,5,Halal
,Ikan Bakar/Goreng,"daging Ikan mas,/urame/bawal",aneka Ikan lainnya,"jeruk nipis, bawang, kecap.","garam, cabai",potongan daging empuk,ikan dengan bumbu rempah,gurih,Gurih dengan dominan bumbuu rempah tertentu,3,5,2,2,1,Aroma rempah yang sedang,5,5,5,5,5,Halal
,Ayam Bakar/Goreng,daging ayam,aneka unggas lainnya,"sambal, timun, selada","garam, lada",potongan daging umpuk,daging ayam yang dibakar atau digoreng,gurih,Gurih dengan dominan bumbuu rempah tertentu,3,5,2,2,1,Aroma rempah yang sedang,5,5,5,5,5,Halal
Kendari,Sinonggi,sagu,kanji,"ikan,sayur,kacang sangari, oerkadel","bentuk menyerupai lem, tekstur lengket",menghunakan sumpit,bagu sagu,"rasa cenderung tawar, namun akan terasa gurih apabila dicampur dengan air ikan",Gurih dengan dominan bumbuu rempah tertentu,4,5,3,2,3,Agak berbau khas tertentu,5,5,5,5,5,Halal
,Ikan Dole,ikan dole,tidak ada,"bawang putih, parutan kelapa, bawang merah, serai, cabai, lada",garing,tidak ada,"ikan dole mempunyai aroma khas, yang sedikit berbau amis.","gurih, pedas",Tidak pernah coba,3,0,0,0,0,0,0,0,0,0,0,Tidak tahu
,Sinonggi,sagu,tidak ada,"ikan, sayur, sambel, tahu goreng, kuah ikan","lengket menyerupai lem, kenyal dan berbentuk bulat",menggunakan sumpit,mempunyai aroma khas tersediri (bau sagu),rasa cenderung tawar,Pedas dengan dominan bumbu rempah tertentu,1,1,1,1,1,Tidak beraroma,3,3,3,3,3,Halal
,Ikan Dole,ikan dole,ikan patin,sambel,tekstur daging ikan lembut,tidak ada,bau amis karena ikan dole merukapan ikan air tawar,gurih,Pedas dengan dominan bumbu rempah tertentu,1,1,1,1,1,Tidak beraroma,3,3,3,3,3,Halal
,Sinonggi,sagu,kanji,"daun bayam, kangkung, terong, tomat, ikan, perkadel, sambel, kacang sangarai.",bentuk kenyal seperti lem dan berbentuk bulat,menggunakan sumpit,aroma khas (bau sagu),"rasa cenderung tawar, namun apabila semua bahan pelengkap makanan telah dicampurkan rasanya gurih dan pedas.",Pedas dengan dominan bumbu rempah tertentu,3,4,3,2,4,Aroma rempah yang kuat,4,4,4,4,4,Halal
,Ikan Dole,ikan dole,tidak ada,"cabai, bawang merah, bawang putih, serai, lada, kemiri.",tesktur daging ikan lembut,tidak ada,aroma rempah-rempah,"gurih, pedas, agak manis-manis",Pedas dengan rasa cabai kuat,2,4,3,2,2,Aroma rempah yang sedang,3,3,4,4,4,Halal
,Sinonggi,sagu,kanji,"sayur, ikan, perkadel, kacang sangrai","kenyal menyerupai lem, dan berbentuk bulat",menggunakan sumpit,"aroma khas tertentu (sagu) dan tanmbahan rempah-rempah misal serai, lada, cabai dan kuah ikan","rasa cenderung tawar, dan gurih",Gurih dengan dominan bumbuu rempah tertentu,4,5,3,3,2,Agak berbau khas tertentu,5,3,5,5,5,Halal
,Ikan Dole,ikan dole,tidak ada,"cabai, bawang putih, bawang merah, lada, serai, kemiri,",daging ikan yang lembut dan berbentuk seperti perkadel,tidak ada,"daging ikan sendiri berbau amis, namun apabila telah diolah aroma akan semakin nikmat dengan tambahan rempah-rempah","gurih, pedas dan garing",Gurih penyedap,4,5,3,3,2,Agak berbau khas tertentu,5,5,5,5,5,Halal
,Sinonggi,sagu,kanji,"sayur, daging ikan, kuah ikan, gorengan, sambel, kacang sangari","tekstur lengket menyerupai lem, kenyal dan berbentuk bulat.",menggunkakan sumpit,"dari adonan sagu sendiri mengeluarkan aroma yang berbau khas, namun apalaila semua bahan telah dicarukan misal ""sayur, daging ikan, kuah ikan dlll"" sinonggi aka mengekuarkan aroma yang sangat nikmat dengan bau rempah-rempah","rasa adonan cenderung tawar, namun jika adonan sagu telah dicamour dengan semua bahan pelengkap makanan misal ""sayur, daging ikan, kuh ikan dll"" sinonggi akan semakin enak dan gurih.",Gurih dengan dominan bumbuu rempah tertentu,3,4,2,3,2,Agak berbau khas tertentu,5,3,5,5,5,Halal
,Ikan Dole,ikan dole,tidak ada,"cabai, bawang merah, bawang putih, lada, serai, kemiri dan parutan kelapa",daging ikan empuk,tidak ada,"aroma ikan amis, namum jika diolah dengan menggunakan rempah-rempah ikan dole diolah menggunakan rempah yang lengkap maka bau amis ika tersebut akan hilang","pedas, manis sesuai selera. tetapi ikan dole ini memiliku rasa yang kahs dan tinggi akan vitanim serta gurih.",Gurih penyedap,3,4,2,2,2,Agak berbau khas tertentu,5,4,4,5,5,Halal
Banjarnegara,Mendoan,Tempe,Tidak ada,"Daun bawang, tepung terigu, bumbu mendoan",Lebar teksturnya lembek,Disajikan dengan sambal kecap atau cabe,Aroma rempah kuat,Asin dan gurih,Gurih dengan dominan bumbuu rempah tertentu,1,4,1,3,1,Aroma rempah yang sedang,3,3,3,3,3,Halal
,Mendoan,Tempe,Tidak ada,"Daun bawang,tepung, bumbu",Lebar/tipis teksturnya garing kriuk,Disajikan dengan saos atau sambal kecap,Aroma rempah dari bumbu yang kuat,Asin dan gurih,Gurih dengan dominan bumbuu rempah tertentu,3,4,2,3,2,Agak berbau khas tertentu,4,3,3,3,3,Halal
,Mendoan,Tempe,Tidak ada,"Tepung, daun bawang, bumbu dan penyedap rasa",Lebar dan lembek,Disajikan dengan sambal kecap,Aroma rempah kuat,Asin dan gurih,Gurih dengan dominan bumbuu rempah tertentu,5,5,4,4,4,Agak berbau khas tertentu,5,4,4,4,4,Halal
,Mendoan,Tempe,Tidak ada,"Daun bawang,tepung terigu, bumbu",Lebar tipis dan lembek,"Disajikan dengan cabai,sambel kecap dan saos",Aroma rempah kuat,Rasa asin dan gurih,Pedas dengan rasa cabai kuat,3,4,3,3,3,Agak berbau khas tertentu,2,3,4,4,4,Halal
,Mendoan,Tempe,Tidak ada,"Daun bawang,tepung dan bumbu",Lebar tipis dan lembek,Disajikan dengan sambal kecap,Aroma rempah kuat,Asin dan gurih,Gurih dengan dominan bumbuu rempah tertentu,1,3,1,2,0,Agak berbau khas tertentu,2,3,3,3,3,Halal
Lubuk linggau,Pempek,ikan tenggiri,ikan gabus,"udang rebon timun, cuka","bulat, pipih lenjer, tektur kenyal",disajikan di piring dan dimakan dengan cuka,tercium aroma ikan,rasanya gurih,Gurih penyedap,0,5,0,3,0,Tidak beraroma,4,3,5,5,4,Halal
,Model,ikan tenggiri,ikan gabus,"bihun, timun, daun sop","bulat besar, tektur kenyal",disajikan dimangkuk dan disiram dengan kuah,kuahnya tercium aroma kaldu udang,rasanya gurih,Tidak pernah coba,1,4,0,3,1,Aroma rempah yang sedang,4,3,4,5,4,Halal
,Tekwan,ikan tenggiri,"ikan gabus, tanpa ikan","udang rebon timun, cuka",bulat kecil tidak beraturan,disajikan dimangkuk dan disiram dengan kuah,disajikan di piring dan dimakan dengan cuka,rasanya gurih,Tidak pernah coba,1,4,0,3,1,Tidak beraroma,4,3,4,4,4,Halal
,Mie Celor,mie kuning basah,-,"udang , telur rebus",tektur mie kenyal,disajikan dimangkung dan ditambahkan telur rebus,tercium aroma rempah,rasanya gurih,Gurih penyedap,0,5,0,3,0,Tidak beraroma,4,3,5,5,4,Halal
,Rujak Mie,mie kuning basah,mie instan,"pempek, tahu goreng, kerupuk",tektur mie kenyal,disajikan dimangkuk,tidak ada aroma,rasanya gurih dan sedikit pedas dari cukanya,Gurih dengan dominan bumbuu rempah tertentu,1,5,0,3,0,Aroma rempah yang sedang,4,3,4,4,4,Halal
,Lenggang,ikan tenggiri,ikan gabus,"udang rebon timun, cuka",lingkaran pipih,disajikan di piring dan dimakan dengan cuka,tercium aroma telur yang digoreng,rasanya gurih dan sedikit pedas dari cukanya,Gurih dengan dominan bumbuu rempah tertentu,1,5,0,3,0,Aroma rempah yang sedang,4,3,4,4,4,Halal
,Pempek,ikan tenggiri,ikan kakap,cuka,"pempek bulat, pipih, lonjong",disajikan dipiring,tidak ada aroma,"rasa gurih dari ikan, sedikit pedas dari cuka",Gurih penyedap,0,5,0,3,0,Tidak beraroma,5,3,5,5,5,Halal
,Model,ikan tenggiri,ikan kakap,"timun, bihun",bulat besar,disajikan dengan kuah yang terdapat potongan bengkuang dan bunga sedap malam,tidak ada aroma,"rasa gurih dari ikan, dan kuahnya gurih dari kaldu udang",Tidak pernah coba,1,4,0,3,0,Aroma rempah yang sedang,5,3,5,4,4,Halal
,Tekwan,ikan tenggiri,ikan kakap,"timun, bihun",bulat kecil tidak beraturan,disajikan dengan kuah yang terdapat potongan bengkuang dan bunga sedap malam,tidak ada aroma,"rasa gurih dari ikan, sedikit pedas dari cuka",Tidak pernah coba,1,4,0,2,1,Tidak beraroma,4,3,4,5,4,Halal
,Mie Celor,mie kuning basah,-,telur rebus,mie kenyal,disajikan dimangkok,beraroma rempah sedang,terasa gurih dari udang dan campuran santan,Tidak pernah coba,1,5,0,3,0,Tidak beraroma,4,3,4,4,5,Halal
,Rujak Mie,mie kuning basah,mie instan,"timun, kerupuk merah",mie kenyal,disajikan dipiring,tidak beraroma,"rasa gurih dari potongan pempek, dan sedikit pedas asam manis dari cuka",Gurih dengan dominan bumbuu rempah tertentu,1,4,0,3,1,Agak berbau khas tertentu,4,4,5,4,4,Halal
,Lenggang,ikan tenggiri,ikan kakap,"cuka, timun, udang rebon",lengang terasa lembut dan sedkit kenyal,disajikan bersama cuka dan potongan timun serta taburan udang rebon,tidak beraroma,"rasa gurih dari ikan, sedikit pedas dari cuka",Gurih dengan dominan bumbuu rempah tertentu,1,5,0,3,0,Agak berbau khas tertentu,4,3,5,5,5,Halal
,Pempek,ikan tenggiri,"ikan sapu - sapu, tanpa ikan",cuka,"bulat, pipih, lenjer",disajikan dengann cuka,tidak ada aroma,rasa ikan gurih dan cukanya sdikit pedas,Gurih penyedap,0,5,0,3,0,Tidak beraroma,4,3,5,5,5,Halal
,Model,ikan tenggiri,"ikan sapu - sapu, tanpa ikan","bihun, timun","bulat besar, dipotong - potong sedang. tektur kenyal",disajikan dimangkok,tidak ada aroma,rasa gurih,Gurih penyedap,1,4,0,3,0,Aroma rempah yang sedang,5,3,4,4,4,Halal
,Tekwan,ikan tenggiri,"ikan sapu - sapu, tanpa ikan","bihun, timun","bulat kecil, tidak beraturan, tektur kenyal",disajikan dimangkok,tidak ada aroma,rasa gurih,Tidak pernah coba,1,4,0,2,1,Tidak beraroma,4,3,5,5,5,Halal
,Mie Celor,mie kuning basah,-,"telur rebus, bawang goreng",tektur mie kenyal,mie celor disajikan dimangkok dan disiram dengan kuah santan kental gurih yang berisi udang,aroma santan gurih dan bearoma rempah sedang,rasa gurih,Tidak pernah coba,0,5,0,3,0,Tidak beraroma,4,2,5,5,4,Halal
,Rujak Mie,mie kuning basah,mie instan,"kerupuk, tahu, pempek",tektur mie kenyal,disajikan dpiring dengan mie disiram dengan cuka dan diberi potongan pempek dan tahu goreng,tidak ada aroma,rasa sedikit pedas gurih,Gurih penyedap,1,5,0,3,0,Aroma rempah yang sedang,5,3,5,5,5,Halal
,Lenggang,ikan tenggiri,"ikan sapu - sapu, ikan gabus","udang rebon, timun, cuka",tektur kenyal,disajikan dipiring dan disiram dengan cuka serta tambahan potongan timun dan udang rebon,tidak ada aroma,rasa gurih,Tidak pernah coba,1,5,0,3,0,Aroma rempah yang sedang,5,3,5,5,5,Halal
,Pempek,ikan tenggiri,"ikan gabus, ikan sapu - sapu",cuka,"pempek bulat, pipih, lonjong",disajikan di piring dan dimakan dengan cuka,tidak ada aroma,rasanya gurih,Gurih penyedap,0,4,0,3,0,Tidak beraroma,4,3,5,5,5,Halal
,Model,ikan tenggiri,"ikan gabus, ikan sapu - sapu","timun, bihun",bulat besar,disajikan dimangkuk dan disiram dengan kuah,tidak ada aroma,rasanya gurih,Gurih dengan dominan bumbuu rempah tertentu,1,4,0,3,1,Aroma rempah yang sedang,4,3,5,4,4,Halal
,Tekwan,ikan tenggiri,"ikan gabus, ikan sapu - sapu","timun, bihun",bulat kecil tidak beraturan,disajikan dimangkuk dan disiram dengan kuah,tidak ada aroma,rasanya gurih,Tidak pernah coba,1,3,0,3,1,Tidak beraroma,4,3,4,4,5,Halal
,Mie Celor,mie kuning basah,-,telur rebus,mie kenyal,disajikan dimangkung dan ditambahkan telur rebus,beraroma rempah sedang,rasanya gurih,Tidak pernah coba,0,4,0,3,0,Tidak beraroma,5,3,5,5,4,Halal
,Rujak Mie,mie kuning basah,mie instan,"timun, kerupuk merah",mie kenyal,disajikan dimangkuk,tidak beraroma,rasanya gurih dan sedikit pedas dari cukanya,Gurih dengan dominan bumbuu rempah tertentu,1,4,0,3,0,Aroma rempah yang sedang,4,3,5,4,5,Halal
,Lenggang,ikan tenggiri,"ikan gabus, ikan sapu - sapu","cuka, timun, udang rebon",lengang terasa lembut dan sedkit kenyal,disajikan di piring dan dimakan dengan cuka,tidak beraroma,rasanya gurih dan sedikit pedas dari cukanya,Tidak pernah coba,1,4,0,3,0,Aroma rempah yang sedang,5,3,4,4,5,Halal
,Pempek,ikan tenggiri,ikan kakap,"udang rebon timun, cuka","bulat, pipih lenjer, tektur kenyal",disajikan dengann cuka,tidak ada aroma,rasa ikan gurih dan cukanya sdikit pedas,Gurih penyedap,0,5,0,3,0,Tidak beraroma,4,4,5,5,5,Halal
,Model,ikan tenggiri,ikan kakap,"bihun, timun, daun sop","bulat besar, tektur kenyal",disajikan dimangkok,tidak ada aroma,rasa gurih,Gurih dengan dominan bumbuu rempah tertentu,1,4,0,3,0,Aroma rempah yang sedang,5,3,4,4,4,Halal
,Tekwan,ikan tenggiri,ikan kakap,"udang rebon timun, cuka",bulat kecil tidak beraturan,disajikan dimangkok,tidak ada aroma,rasa gurih,Gurih dengan dominan bumbuu rempah tertentu,1,4,0,3,0,Tidak beraroma,4,3,5,4,4,Halal
,Mie Celor,mie kuning basah,-,"udang , telur rebus",tektur mie kenyal,mie celor disajikan dimangkok dan disiram dengan kuah santan kental gurih yang berisi udang,aroma santan gurih dan bearoma rempah sedang,rasa gurih,Gurih penyedap,0,4,0,3,0,Tidak beraroma,5,3,5,5,5,Halal
,Rujak Mie,mie kuning basah,mie instan,"pempek, tahu goreng, kerupuk",tektur mie kenyal,disajikan dpiring dengan mie disiram dengan cuka dan diberi potongan pempek dan tahu goreng,tidak ada aroma,rasa sedikit pedas gurih,Gurih dengan dominan bumbuu rempah tertentu,1,5,0,3,0,Tidak beraroma,4,3,5,5,5,Halal
,Lenggang,ikan tenggiri,ikan kakap,"udang rebon timun, cuka",lingkaran pipih,disajikan dipiring dan disiram dengan cuka serta tambahan potongan timun dan udang rebon,tidak ada aroma,rasa gurih,Gurih dengan dominan bumbuu rempah tertentu,1,4,0,3,0,Tidak beraroma,5,3,5,5,5,Halal
,Pempek,ikan tenggiri,"ikan gabus, ikan sapu - sapu",cuka,"pempek bulat, pipih, lonjong",disajikan dengann cuka,tercium aroma ikan,rasanya gurih,Gurih penyedap,0,5,0,2,0,Tidak beraroma,5,3,5,4,5,Halal
,Model,ikan tenggiri,"ikan gabus, ikan sapu - sapu","timun, bihun",bulat besar,disajikan dimangkok,kuahnya tercium aroma kaldu udang,rasanya gurih,Gurih dengan dominan bumbuu rempah tertentu,1,4,0,3,0,Aroma rempah yang sedang,4,3,4,4,4,Halal
,Tekwan,ikan tenggiri,"ikan gabus, ikan sapu - sapu","timun, bihun",bulat kecil tidak beraturan,disajikan dimangkok,disajikan di piring dan dimakan dengan cuka,rasanya gurih,Gurih dengan dominan bumbuu rempah tertentu,1,5,0,3,0,Tidak beraroma,4,4,5,5,5,Halal
,Mie Celor,mie kuning basah,-,telur rebus,mie kenyal,mie celor disajikan dimangkok dan disiram dengan kuah santan kental gurih yang berisi udang,tercium aroma rempah,rasanya gurih,Gurih penyedap,0,4,0,3,0,Tidak beraroma,5,3,4,5,4,Halal
,Rujak Mie,mie kuning basah,mie instan,"timun, kerupuk merah",mie kenyal,disajikan dipiring dengan mie disiram dengan cuka dan diberi potongan pempek dan tahu goreng,tidak ada aroma,rasanya gurih dan sedikit pedas dari cukanya,Gurih dengan dominan bumbuu rempah tertentu,0,5,0,3,0,Aroma rempah yang sedang,4,3,5,5,5,Halal
,Lenggang,ikan tenggiri,"ikan gabus, ikan sapu - sapu","cuka, timun, udang rebon",lengang terasa lembut dan sedkit kenyal,disajikan dipiring dan disiram dengan cuka serta tambahan potongan timun dan udang rebon,tercium aroma telur yang digoreng,rasanya gurih dan sedikit pedas dari cukanya,Gurih dengan dominan bumbuu rempah tertentu,0,5,0,3,0,Aroma rempah yang sedang,5,3,4,5,5,Halal
Bandar Lampung,Lapis Legit,Tepung Terigu,kurang tau,"mentega, telur",lembut,didalam loyang,aroma telur dan mentega dan wangi kayu manis yang kuat,rasa manis yang kuat dan campuran rasa telur yang kuat,Manis dengan rasa gula yang kuat,0,3,5,1,0,Agak berbau khas tertentu,5,5,4,5,5,Halal
,Sekubal,ketan,kurang tau,santan,kenyal,daun pisang,tidak beraroma,rasa gurih dari santan,Gurih dengan dominan bumbuu rempah tertentu,0,4,0,4,0,Tidak beraroma,2,5,5,5,5,Halal
,Pie Pisang,pisang,kurang tau,"keju, coklat",lembut dan krispi,didalam loyang,aroma pisang dan aroma coklat yang kuat,rasa manis dari pisang dan campuran rasa lainnya,Manis dengan rasa gula yang kuat,0,4,5,3,0,Agak berbau khas tertentu,5,5,4,5,5,Halal
,Lapis Legit,"telur, mentega, tepung",tidak tau,"kayu manis, gula",berlapis-lapis dan lmbut,dipotong kotak-kotak,aroma telur dan mentega yang kuat,rasa manis dari gula yang kuat,Asin dengan dominan bumbu rempah tertentu,1,4,1,5,1,Agak berbau khas tertentu,1,4,1,4,1,Tidak tahu
,Sekubal,ketan,tidak tau,santan,bulat dan kenyal,daun pisang,aroma santan,rasa gurih dari santan,Pedas dengan rasa cabai kuat,2,3,2,3,2,Aroma rempah yang kuat,2,3,2,3,2,Tidak halal
,Pie Pisang,pisang,tidak tau,"coklat, keju, kismis",lonjong berbentuk pisang dan krispi,tidak ada,aroma dari pisang dan coklat/keju,"rasa manis dari adonan roti, pisang dan coklat",Asin dengan dominan bumbu rempah tertentu,1,4,1,4,1,Agak berbau khas tertentu,1,4,1,4,1,Tidak tahu
,Lapis Legit,"mentega, telur, tepung",kurang tau,"gula, kapulaga",berlapis-lapis dan lembut,dipotong kotak-kotak,aroma mentega dan telur yang kuat,"rasa manis dari gula, dan gurih dari telur",Manis dengan rasa gula yang kuat,1,1,5,1,1,Tidak beraroma,3,4,3,3,5,Halal
,Sekubal,ketan,kurang tau,santan,bulat dan agak kenyal dan lembut,dibungkus daun pisang,tidak terlalu beraroma,rasa gurih dari santan,Gurih dengan dominan bumbuu rempah tertentu,1,4,1,3,1,Tidak beraroma,3,4,3,3,5,Halal
,Pie Pisang,pisang,kurang tau,"coklat, keju, srikaya dll",berbentuk seperti pisang,tidak ada,aroma dari adonan dan pisang,"rasa manis dari pisang, coklat, keju, srikaya dll, dan gurih dari adonan kue","Manis dengan dominan rasa tertentu (coklat, vanila, srikaya, aren)",1,2,5,2,2,Tidak beraroma,3,4,3,3,5,Halal
,Lapis Legit,"tepung, menteg, telur",tidak ada,"coklat, kayu manis, cengkeh",berlapis-lapis dan lembut,dipanggang diloyang dan dipotong kotak2,aroma telur yang kuat,rasa manis yang kuat dan sedikit gurih,Manis dengan rasa gula yang kuat,0,0,5,0,0,Agak berbau khas tertentu,5,5,5,5,5,Halal
,Sekubal,ketan,tidak ada,santan,bulat,menggunakan daun pisang,tidak ada aroma,rasa gurih dari santan,Gurih penyedap,0,5,0,1,0,Tidak beraroma,5,5,5,5,5,Halal
,Pie Pisang,pisang,kurang tau,"coklat, keju, original","bentuk seperti buah pisang, lembut dan krispi",tidak ada,aroma dari adonan pisang,"rasa manis dari pisang,coklatdll","Manis dengan dominan rasa tertentu (coklat, vanila, srikaya, aren)",0,0,5,0,0,Agak berbau khas tertentu,5,5,5,5,5,Halal
,Lapis Legit,"mentega, telur, tepung",kurang tau,"cengkeh, kayu manis, gula, kapulaga",berlapis-lapis dan lembut,dipanggang didalam loyang,aroma telur dan mentega yang kuat,rasa manis dari gula yang kuat,Manis dengan rasa gula yang kuat,2,5,4,2,2,Tidak beraroma,3,3,4,3,5,Halal
,Sekubal,ketan,kurang tau,santan,bulat,daun pisang,aroma tidak ada,gurih dari santan,Gurih dengan dominan bumbuu rempah tertentu,2,5,5,2,2,Tidak beraroma,3,5,4,3,5,Halal
,Pie Pisang,pisang,kurang tau,coklat dan keju dll,bentuk pisang,tidak ada,aroma adonan yang kuat,rasa manis dari pisang dan coklat dll yang kuat,"Manis dengan dominan rasa tertentu (coklat, vanila, srikaya, aren)",1,5,5,1,2,Tidak beraroma,3,5,4,3,5,Halal
Jakarta,Nasi Uduk,Beras pulen,"Beras campur, beras pulen dan beras pera","Semur jengkol, sambel kacang, bawang goreng, emping, sayur kari, pindang bandeng,",Nikmat dan gurih,Kertas nasi dialasi daun pisang,"Aroma yang nikmat dan harus karna campuran dari rempah rempah seperti sereh, daun salam, lengkoas, dll",Memiliki rasa yang nikmat dan tekstur yang lembut,Gurih penyedap,5,5,5,5,5,Aroma rempah yang kuat,5,5,5,5,5,Halal
,Kue Lopis,Beras Ketan,-,"Kelapa usam, gula merah cair",Manis dan legit,Daun pisang,Aroma ketan yang di kukus dan wangi gula aren,Rasa gula aren yang manis bercampur dengan kelapa usam yang menambah rasa legit dan gurih,Gurih penyedap,5,5,5,5,5,Aroma rempah yang kuat,5,5,5,5,5,Halal
,Nasi Uduk,beras,beras merah,"semur,tempe orek,telur,bihun,ayam,sambel kacang","gurih,renyah,sedap",kertas nasi dan di beri daun,"aroma harum dengan rempah rempah santan berasa,lengkuas ,sereh,daun salam,daun jeruk.",memiliki rasa yang gurih dan sedap,Gurih dengan dominan bumbuu rempah tertentu,3,3,3,2,2,Agak berbau khas tertentu,3,3,3,3,3,Halal
,Kue Lopis,ketan,-,"gula ,kelapa",kenyal dan manis,"daun pisang ,plastik",aroma ketan di baruti parutan kelapa dan gula aren,rasanya manis dari siraman gula merah dan parutan kelapa agar terasa gurih,Manis dengan rasa gula yang kuat,1,3,2,2,2,Agak berbau khas tertentu,3,3,3,3,3,Halal
,Nasi Uduk,beras putih,beras merah,"semur tempe, tahu, telur, bihun, ayam, empal, sambal kacang, bawang goreng, kerupuk",pulen dan gurih,dengan kertas nasi ataupun daun pisang,"aromanya harum dengan ciri khas dari rempah-rempah seperti santan, daun jeruk, lengkuas, serai dan daun salam.",memiliki rasa yang gurih.,Gurih dengan dominan bumbuu rempah tertentu,4,4,4,0,0,Aroma rempah yang kuat,3,3,5,5,5,Halal
,Kue Lopis,beras ketan,-,"gula aren, kelapa",kenyal legit dan manis,"dengan kertas nasi, daun pisang dan plastik",aromanya harum dengan parutan kelapa dan gula aren,rasa manis dari siraman gula aren cair berpadu dengan gurihnya kue lopis.,Manis dengan rasa gula yang kuat,0,0,2,0,0,Tidak beraroma,3,3,4,5,5,Halal
