Daerah,Nama Kuliner,"Bahan Utama (mis: beras,labu)",Bahan pengganti (mis: sagu),"Bahan pelengkap (mis: sayur kangkung, daun singkong)","Bentuk dan tekstur (mis: kuah kental, lembek)",Cara penyajian khusus (mis: dengan daun pisang),Deskripsikan Aroma lebih detail,Deskripsikan Rasa lebih detail,Apa rasa dominan kuliner tersebut ? [Nasi jajan],Level Pedas kuliner lokal di bawah ini [Nasi jajan],Level Gurih kuliner lokal di bawah ini [Nasi jajan],Level Manis kuliner lokal di bawah ini [Nasi jajan],Level Asin kuliner lokal di bawah ini [Nasi jajan],Level Asam kuliner lokal di bawah ini [Nasi jajan],Bagaimana aroma kuliner tersebut? [Nasi jajan],Nutrisi dari makanan [Nasi jajan],Tekstur makanan (mudah dikunyah/ tingkat kelembutan makanan) [Nasi jajan],Penggunaan bahan alami [Nasi jajan],Kesegaran makanan [Nasi jajan],Kebersihan makanan [Nasi jajan],Status halal makanan [Nasi jajan]
,Gethuk goreng,singkong,tidak ada,adonan tepung terigu,"bulat tak beraturan, lembut di dalam krispi di luar",besek anyaman bambu,manis,sedikit manis,Asin dengan dominan bumbu rempah tertentu,0,5,4,3,0,Agak berbau khas tertentu,4,3,5,5,5,Halal
,Belalang goreng,belalang,tidak ada,sambel bawang,"belalang utuh, renyah",toples kecil,aroma khas dari belalang,"renyah, gurih rasa alami belalang",Pedas dengan dominan bumbu rempah tertentu,5,5,4,4,0,Aroma rempah yang sedang,5,2,4,5,5,Tidak tahu
,Wedang uwuh,"jahe, cengkeh, sereh, air",tidak ada,"gula batu, secang","cair, panas",gelas toples berukuran sedang dengan garnis batang sereh,aroma khas rempah rempah,pedes jahe&cengkeh manis gula batu,Manis dengan rasa gula yang kuat,0,0,5,0,0,Aroma rempah yang kuat,4,4,4,5,5,Halal
,Nasi merah,beras merah,tidak ada,sayur lombok ijo+krecek,"biji beras utuh, tidak pulen",ceting nasi dari anyaman bambu,aroma bekatul,hambar,Gurih penyedap,0,5,4,0,0,Tidak beraroma,5,4,5,5,5,Halal
,Gathot,singkong kering,tidak ada,parutan kelapa muda,"potongan kecil, kenyal",dialasi daun pisang bungkus dengan besek,aroma alami singkong yang sedikit tumbuh jamur jadi bau sedikit kecut,,Manis dengan rasa gula yang kuat,1,3,2,3,1,Agak berbau khas tertentu,2,3,4,3,4,Halal
,Thiwul,tepung singkong,tidak ada,"parutan kelapa muda, keju, coklat","butiran kecil, pera",dialasi daun pisang bungkus dengan besek,,,"Manis dengan dominan rasa tertentu (coklat, vanila, srikaya, aren)",1,2,3,1,1,Agak berbau khas tertentu,3,4,4,3,4,Halal
,Gethuk goreng,singkong segar,umbi umbian,"gula, karamel","potongan kecil, empuk",dialasi daun pisang bungkus dengan besek,,,Asin dengan rasa garam yang kuat,1,1,3,1,1,Agak berbau khas tertentu,3,3,4,3,4,Halal
,Belalang goreng,belalang,jangkrik,sambal bawang,"krispi, renyah",toples plastik wrapping,,,Gurih dengan dominan bumbuu rempah tertentu,1,4,2,3,1,Aroma rempah yang sedang,4,3,3,3,4,Halal
,Wedang uwuh,"air, jahe, secang, sereh","cengkeh, salam, kayu manis",gula batu,cair,gelas sedang semua rempah di masukan,,,Manis dengan rasa gula yang kuat,3,1,1,1,1,Aroma rempah yang sedang,4,1,5,3,4,Halal
,Nasi merah,beras merah,tidak ada,aneka sayur lombok ijo dan lauk ayam goreng kampung,"biji beras utuh, pera",dialasi daun pisang bungkus dengan besek,,,Gurih penyedap,1,1,1,1,1,Tidak beraroma,3,3,3,3,4,Halal
Aceh,Sanger,Biji kopi arabica,Biji kopi robusta,Susu,Cairan,Tidak ada,Khas kopi,Pahit dan sedikit manis,"Manis dengan dominan rasa tertentu (coklat, vanila, srikaya, aren)",1,1,2,1,1,Agak berbau khas tertentu,4,5,5,5,4,Halal
,Boh itek teupeulemak,,,,,,,,Tidak pernah coba,0,0,0,0,0,,0,0,0,0,0,Tidak tahu
,Keumamah,,,,,,,,Tidak pernah coba,0,0,0,0,0,,0,0,0,0,0,Tidak tahu
,Mie aceh,Mie kuning,Tidak ada,"Acar bawang, telur",Lembut,Tidak ada,Khas campuran beberapa rempah,Gurih dan terkadang pedas,Gurih dengan dominan bumbuu rempah tertentu,3,4,1,3,1,Aroma rempah yang kuat,4,5,4,5,4,Halal
,Asam keu'eung,,,,,,,,Tidak pernah coba,0,0,0,0,0,,0,0,0,0,0,Tidak tahu
,Sanger,,,,,,,,"Manis dengan dominan rasa tertentu (coklat, vanila, srikaya, aren)",0,0,2,0,0,Aroma rempah yang kuat,2,0,5,5,5,Halal
,Boh itek teupeulemak,,,,,,,,Gurih dengan dominan bumbuu rempah tertentu,2,2,0,0,0,Aroma rempah yang kuat,3,5,5,5,5,Halal
,Keumamah,,,,,,,,Gurih dengan dominan bumbuu rempah tertentu,2,1,0,1,0,Aroma rempah yang kuat,3,5,5,5,5,Halal
,Mie aceh,,,,,,,,Gurih dengan dominan bumbuu rempah tertentu,2,2,0,1,5,Aroma rempah yang kuat,3,5,5,5,5,Halal
,Asam keu'eung,Ikan,Tidak ada,Belimbing wuluh,"Kuah kuning, ikan empuk",Tidak ada,Khas belimbing,"Pedas, asam belimbing",Pedas dengan dominan bumbu rempah tertentu,2,2,0,1,4,Aroma rempah yang kuat,3,5,5,5,5,Halal
,Sanger,,,,,,,,Tidak pernah coba,,,,,,,,,,,,
,Boh itek teupeulemak,,,,,,,,Tidak pernah coba,,,,,,,,,,,,
,Keumamah,,,,,,,,Tidak pernah coba,,,,,,,,,,,,
,Mie aceh,Mie kuning,Tidak ada,"Telur, kerupuk, acar","Mie lembut, berkuah agak kental",Tidak ada,Khas rempah,"Gurih, pedas lada dan cabai",Pedas dengan dominan bumbu rempah tertentu,3,4,1,2,1,Aroma rempah yang sedang,4,5,4,5,5,Halal
,Asam keu'eung,,,,,,,,Tidak pernah coba,,,,,,,,,,,,
,Sanger,Kopi arabica,Kopi robusta,Susu kental manis,"Cair, berwarna coklat muda",Tidak ada,Khas kopi + susu,Pahit kopi bercampur manis dari susu,"Manis dengan dominan rasa tertentu (coklat, vanila, srikaya, aren)",1,1,3,1,1,Agak berbau khas tertentu,3,5,4,5,5,Halal
,Boh itek teupeulemak,,,,,,,,Tidak pernah coba,,,,,,,,,,,,
,Keumamah,,,,,,,,Tidak pernah coba,,,,,,,,,,,,
,Mie aceh,,,,,,,,Tidak pernah coba,,,,,,,,,,,,
,Asam keu'eung,,,,,,,,Tidak pernah coba,,,,,,,,,,,,
,Sanger,,,,,,,,,,,,,,,,,,,,
,Boh itek teupeulemak,,,,,,,,,,,,,,,,,,,,
,Keumamah,,,,,,,,,,,,,,,,,,,,
,Mie aceh,Mie kuning,Tidak Ada,"Telur, acar, kerupuk","Mie lembut, agak basah/berkuah",Tidak Ada,Khas rempah-rempah,Pedas dan gurih khas rempah,Pedas dengan dominan bumbu rempah tertentu,3,4,1,2,1,Aroma rempah yang kuat,4,5,4,5,5,Halal
,Asam keu'eung,,,,,,,,,,,,,,,,,,,,
Manado,Tinutuan,Labu,Ubi,"sambal roa, daun singkong, singkong, jagung",kental,Tidak ada,aroma daun kemangi kuat,rasa manis dan gurih,Pedas dengan dominan bumbu rempah tertentu,2,3,2,3,2,Aroma rempah yang kuat,3,3,3,3,3,Halal
,Nasi goreng roa/cakalang,"Nasi, ikan roa",ikan cakalang,"acar timun, sambal roa",berminyak,Tidak ada,Aroma bawang dan ikan yang kuat,rasa jahe yang kuat pedas dan gurih,Asin dengan dominan bumbu rempah tertentu,2,3,3,3,2,Aroma rempah yang kuat,3,3,3,3,3,Halal
,Dabu-dabu,"cabe, bawang, tomat",Tidak Ada,Tidak Ada,"berair, potongan besar",Tidak ada,"Aroma segar tomat, aroma lemon","Pedas, asam",Pedas dengan rasa cabai kuat,3,2,3,3,2,Aroma rempah yang kuat,3,3,3,3,3,Halal
,Perkedel milu,Jagung manis,Tidak Ada,Tidak Ada,"krispi, lembut",Tidak ada,biasa saja,gurih,Asin dengan dominan bumbu rempah tertentu,2,2,2,2,3,Aroma rempah yang sedang,2,2,2,2,3,Halal
,Perkedel nike,Ikan Nike,Tidak ada,Tidak Ada,krispi adonan lembut,Tidak ada,biasa saja,Gurih,Asin dengan dominan bumbu rempah tertentu,2,2,2,2,3,Aroma rempah yang sedang,2,2,2,2,3,Halal
,Mie cakalang,Mie,Tidak ada,"Bawang goreng, sawi hijau, kol","kenyal, berkuah",Tidak ada,aroma ikan cakalang dan sambal,gurih pedas,Pedas dengan dominan bumbu rempah tertentu,3,3,3,3,3,Aroma rempah yang kuat,3,3,3,3,3,Halal
